corpus_id,part_number,local_step_file,step_bytes,step_sha256,source_zip_bytes,source_zip_sha256,file_schema,text_structure,download_date,validation_status
D01,SKF FNL 505 A,D01_SKF_FNL_505_A_AP242.stp,455083,16b9104ab339c2ea8e0564485711ce43526b8445b17a9f6d9b15ce7ada7801ed,84440,011cc75382daed957f65e55259f2dde81df6f55bf8421f43765a3a273ba9bff1,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF,3 MANIFOLD_SOLID_BREP; 3 CLOSED_SHELL; 280 ADVANCED_FACE,2026-08-10,text_audited_kernel_validation_pending
D02,24080-010,D02_24080-010_AP242.stp,106441,f217fcdc3d8d3b78b82e7a62bb2b224c30a0baef71652488129b1a1694c0517a,20075,8d4ade94184ef09d4a2e156ad58d094190be55c48ee400fc1c7fcabf78f1eb7d,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF,1 MANIFOLD_SOLID_BREP; 1 CLOSED_SHELL; 98 ADVANCED_FACE,2026-08-10,text_audited_kernel_validation_pending
D03,BENE INOX 664376-40,D03_BENE_INOX_664376-40_OPEN_AP242.stp,836171,e7881a338b650e50f1f490f59a585cabc3da0182aaba429a0715163f87d31873,131096,a1f08aecfc8257a38910297a02f8861c39818378b4075a9d88f4c01174bac8a0,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF,2 MANIFOLD_SOLID_BREP; 2 CLOSED_SHELL; 458 ADVANCED_FACE,2026-08-10,text_audited_kernel_validation_pending
D04,6281-270852,D04_BUERKERT_6281_270852_AP242.stp,504859,e0b09ddc264a87a1f12875944e884f84dfa5066d34ab65c569c4a80b995a7bb6,84706,7a2f0b57ceb21b278f64c21be557e3b140eb90e8fc53e11b76738a0968bdd7f9,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF,3 MANIFOLD_SOLID_BREP; 3 CLOSED_SHELL; 341 ADVANCED_FACE,2026-08-10,text_audited_kernel_validation_pending
