corpus_id,part_number,local_step_file,step_bytes,step_sha256,source_zip_bytes,source_zip_sha256,requested_ui_version,file_description,file_schema,text_structure,download_date,validation_status
C01,UCF 305,C01_UCF_305_AP203.step,134072,833ae43ae70cb426dfa0b31f73a9c6115a167339c1188842ff17d0c693abb8e8,17057,4142b5feda2ff9978af89730de9e3bb55f4dccfe8ebeedb965250f3c957c4cbb,AP203,STEP AP214,AUTOMOTIVE_DESIGN,2 MANIFOLD_SOLID_BREP; 2 CLOSED_SHELL; 51 ADVANCED_FACE,2026-08-10,text_audited_kernel_validation_pending
C02,0.0.003.20 (download alias 30077),C02_Angle_Bracket_0_0_003_20_AP203.step,212951,cec3150c76e253c18d359966b2b1c164f4a5def3df507a1e74d1c83541a1c8a0,42125,bbf095666e6fa2987dca35e517b96f562824523d773d9a152c09e1619234e77e,AP203,STEP AP214,AUTOMOTIVE_DESIGN,3 MANIFOLD_SOLID_BREP; 3 CLOSED_SHELL; 45 ADVANCED_FACE,2026-08-10,text_audited_kernel_validation_pending
C03,Moderate- Mounting Bracket,C03_Moderate_Mounting_Bracket_AP214.step,428779,7fac346b2bc22b12adcb0136e8dcc9ad89adaceac8b81757948dbd94a40a73c2,89731,b19fb4ed75d66dde0e47b05637dec3c0c9d7833cc2498d85ada5bfa9f23647ec,AP214,STEP AP214,AUTOMOTIVE_DESIGN,1 MANIFOLD_SOLID_BREP; 1 CLOSED_SHELL; 197 ADVANCED_FACE,2026-08-10,text_audited_kernel_validation_pending
C04,S7215-2.5,C04_S7215_2_5_AP214.step,8853219,ecc920585562b59885a0fcabbd3a87eaadb9cbcc1ec379fd2e4c35922b47c38a,2376174,ee83b766efbeac94ca4cd3281d781a661960b569757b6edb5d9cb42695e996cf,AP214,STEP AP214,AUTOMOTIVE_DESIGN,1 BREP_WITH_VOIDS; 3 CLOSED_SHELL; 1317 ADVANCED_FACE,2026-08-10,text_audited_kernel_validation_pending
