corpus_id,source_member,local_step_file,step_bytes,step_sha256,source_zip_bytes,source_zip_sha256,file_description,file_schema,text_structure,download_date,validation_status
G01,Parça 59.STEP,G01_L_Bracket_Gusset.step,114299,f96e89c85cc84ba2b5d7a87e50b27c6432ed64dde60ee14a70cb1df38743d4f0,261552,71d149e8aab624da9f9470552463729d41c0f1a6b48955aeb5069f360f985da6,STEP AP214,AUTOMOTIVE_DESIGN,1 MANIFOLD_SOLID_BREP; 1 CLOSED_SHELL; 44 ADVANCED_FACE,2026-08-10,text_audited_kernel_validation_pending
G02,Parça 76.STEP,G02_Slotted_Adjustment_Bracket.step,63345,5d44c7884afa3b52e65ae572c52823d5826b36ba57f3eadea41c26d64a90894e,165042,7cb7be81c1242115f2fb191c4e2a2eb3be048e37db144ff7c6e59100fc32d22a,STEP AP214,AUTOMOTIVE_DESIGN,1 MANIFOLD_SOLID_BREP; 1 CLOSED_SHELL; 26 ADVANCED_FACE,2026-08-10,text_audited_kernel_validation_pending
G03,Elbow.step,G03_Flanged_Elbow_50mm.step,37131,60a2e3d6bb15c9866b62cc2c97a84faf785163b321e6cde51246b1ce4ddb9f01,73387,caceb40ac22576a881e4643b06aef5a7eceeba40654c99b2cf3aecb9ec08fa9b,unspecified,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF,1 MANIFOLD_SOLID_BREP; 1 CLOSED_SHELL; 24 ADVANCED_FACE,2026-08-10,text_audited_kernel_validation_pending
G04,Gate valve body...STEP,G04_Gate_Valve_Body_2in.step,779405,ab9e29fe5942ddf927267ecfc3ac5ee194f263aee6a3dc4957fd2e20e882c0cb,990493,c8472a48a84474ae0486c30764c9717c8fe116e26f2c8382ad9872196a0af94e,STEP AP203,CONFIG_CONTROL_DESIGN,1 MANIFOLD_SOLID_BREP; 1 CLOSED_SHELL; 187 ADVANCED_FACE,2026-08-10,text_audited_kernel_validation_pending
G05,MY INPROVED IMPELLER 2.step,G05_Jet_Impeller.step,4794641,a022fd92a470634866f5ee216757731cd7060e2e21318fd86b78566781b9bed9,14636356,24598a91577f8f3337ccf26c1b99ff0032d8a85a881e200842aae2b9100a9712,unspecified,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF,12 MANIFOLD_SOLID_BREP; 12 CLOSED_SHELL; 476 ADVANCED_FACE,2026-08-10,text_audited_kernel_validation_pending
