corpus_id,source_group,model_name,runner_status,tool_ok,resolution,active_cells,oracle_diagnostic_certified,oracle_diagnostic_coverage,bound_violations,outside_cell_vertices,median_normal_angle_error_degrees,p95_normal_angle_error_degrees,median_root_position_error_cell_units,p95_root_position_error_cell_units,median_bound_cell_units,p95_bound_cell_units,median_measured_displacement_cell_units,p95_measured_displacement_cell_units,baseline_vertices,baseline_triangles,baseline_boundary_edges,baseline_nonmanifold_edges,baseline_mean_surface_error_cell_units,baseline_max_surface_error_cell_units,fallback_mean_surface_error_cell_units,fallback_max_surface_error_cell_units,pipeline_elapsed_seconds,input_path
C01,3D ContentCentral,Nomo UCF3 flange bearing housing,completed,True,32,3860,1098,0.2844559585492228,0,398,1.4754974508831529,43.5329911817567,2.3342987924996283e-05,0.09554822675465145,7.911740344939753,86.01084549360363,0.07110033308533496,0.47524653128286976,3860,7840,0,52,0.03929138878798219,0.7756575417643322,0.23398174216702178,0.7909090909090911,0.2775379579998116,${GRADIENT_QEF_CAD_ROOT}/3DContentCentral/C01_UCF_305/C01_UCF_305_AP203.step
C02,3D ContentCentral,item Angle Bracket,completed,True,32,6355,3058,0.4811959087332809,0,633,0.006080119897437718,34.321788929693575,1.284388625511686e-05,0.0232472781420072,0.766916959793086,61.234953125283646,0.006496336077538143,0.38904140531481596,6355,12760,0,17,0.027506850960513345,0.5209255858302854,0.17516657105867653,0.8141887088870904,0.390367874999356,${GRADIENT_QEF_CAD_ROOT}/3DContentCentral/C02_Angle_Bracket_0_0_003_20/C02_Angle_Bracket_0_0_003_20_AP203.step
C03,3D ContentCentral,SOLIDWORKS Part Reviewer Mounting Bracket,completed,True,32,114,0,0,0,30,26.50279166428062,78.47301957763554,0.020022844018598055,0.10739818860991308,67.91428724266889,157.8378817920551,0.3714728644528006,0.6741095118108615,114,192,0,3,0.08803550840555706,0.5191096702489288,0.3592937905429662,0.7972493198303717,0.36066037499949744,${GRADIENT_QEF_CAD_ROOT}/3DContentCentral/C03_Moderate_Mounting_Bracket/C03_Moderate_Mounting_Bracket_AP214.step
C04,3D ContentCentral,VSI 2.5-inch S7215 2-Way Ball Valve,completed,True,32,1193,0,0,0,345,23.141641768396262,79.0275113758601,0.03197696105272066,0.1994899181958129,64.0755318805755,192.52317100830575,0.377231795054433,1.245184146639646,1193,2520,0,41,0.11954383273348043,1.2030962676167463,0.28251704701927577,0.8099261885850675,24.89157254100064,${GRADIENT_QEF_CAD_ROOT}/3DContentCentral/C04_S7215_2_5/C04_S7215_2_5_AP214.step
D02,3Dfindit,norelem fixed bearing flange unit,completed,True,32,7037,915,0.130027000142106,0,975,5.21826060405576,44.91773540597678,0.00034593803965844385,0.1248434475955422,13.089790040964141,109.30305337219295,0.13604045261039702,0.6094162166579009,7037,14272,0,79,0.04868233768123527,0.6279379362913348,0.25912467667561756,0.7831124391404768,0.3638440000013361,${GRADIENT_QEF_CAD_ROOT}/3Dfindit/D02_24080-010/D02_24080-010_AP242.stp
G01,GrabCAD,L-Bracket with Triangular Gusset,completed,True,32,1447,178,0.12301313061506565,0,198,10.29770158871207,44.28709126293439,0.00023503535735783161,0.1661538461538454,26.704445921382455,87.45186353149377,0.19227504525371147,0.5522935938314872,1447,2888,0,1,0.06628401399572875,0.377246069577654,0.2572107652024915,0.8187070238913511,0.20681208399946627,${GRADIENT_QEF_CAD_ROOT}/GrabCAD/G01_L_Bracket_Gusset/G01_L_Bracket_Gusset.step
G02,GrabCAD,Multi-Purpose Slotted Adjustment Bracket,completed,True,32,3438,1548,0.450261780104712,0,243,0.0051149993426004,34.694837248031185,1.8659238454592587e-14,0.06619261770228788,3.5688023328386516,63.60739602847631,0.026999392001200113,0.3792877309141316,3438,6952,0,28,0.031590991650434906,0.2413066649108004,0.18636092635887627,0.7477385723793406,0.1852506249997532,${GRADIENT_QEF_CAD_ROOT}/GrabCAD/G02_Slotted_Adjustment_Bracket/G02_Slotted_Adjustment_Bracket.step
G03,GrabCAD,50 mm 90-Degree Flanged Pipe Elbow,completed,True,32,3131,152,0.04854679016288726,0,650,7.516289441385032,31.95901064848086,0.007311770811930171,0.21012083123358133,19.343974149066764,64.3975516733338,0.20058670297668202,0.5813596734747667,3131,6840,0,234,0.10059754931721676,0.47375902612895804,0.29036406770843515,0.8234044305094856,0.19384024999999383,${GRADIENT_QEF_CAD_ROOT}/GrabCAD/G03_Flanged_Elbow_50mm/G03_Flanged_Elbow_50mm.step
G04,GrabCAD,Gate Valve Body 2 Inch Class 150,completed,True,32,7109,340,0.04782669855113237,0,813,6.617417850143111,38.203574608330214,0.0026163931787216294,0.12270518899341361,16.384745753821083,71.62094576191441,0.16885365877453154,0.4468236394593956,7109,14484,0,77,0.049254136698612436,0.43452695311304207,0.2880923491973723,0.851444985989421,1.109412791000068,${GRADIENT_QEF_CAD_ROOT}/GrabCAD/G04_Gate_Valve_Body_2in/G04_Gate_Valve_Body_2in.step
N01,NIST,STC-06,completed,True,32,3745,1625,0.43391188251001334,0,516,0.012652073896654471,38.20762536412697,3.438782331310633e-15,0.056462421843163704,6.047529025895744,81.0303854755902,0.06538783138913143,0.49272706127018845,3745,7588,0,39,0.04033069259374373,0.5847796105142843,0.1808744395682965,0.8475781469250098,0.44353804200000013,${LOCAL_PROJECT_ROOT}/g-p-6a39e656c2e8819185c3e09837052bc0/research/topic4_v5/real_cad_experiment/corpus_v1/originals/nist/N01/nist_stc_06_asme1_ap242-e3.stp
N02,NIST,STC-07,completed,True,32,2988,0,0,0,166,2.7882614032422937,56.07431566854472,0.006372149032253102,0.1585769809768416,9.89686547781681,104.64324911828125,0.1071675318788699,0.610021867182111,2988,6004,0,0,0.060185494434485065,0.3514319407687887,0.12727206554871476,0.7068441898598512,0.7970087910016446,${LOCAL_PROJECT_ROOT}/g-p-6a39e656c2e8819185c3e09837052bc0/research/topic4_v5/real_cad_experiment/corpus_v1/originals/nist/N02/nist_stc_07_asme1_ap242-e3.stp
N03,NIST,STC-08,completed,True,32,818,7,0.008557457212713936,0,279,17.41585391161344,48.45186979926299,0.018453923870129275,0.26338693778508154,48.47673244089377,123.64860473642325,0.36542021692028925,1.4946486287422625,818,1676,0,22,0.18177474955323455,0.9504314931155532,0.33905707024979775,0.7618002650850344,0.66492104200006,${LOCAL_PROJECT_ROOT}/g-p-6a39e656c2e8819185c3e09837052bc0/research/topic4_v5/real_cad_experiment/corpus_v1/originals/nist/N03/nist_stc_08_asme1_ap242-e3.stp
N04,NIST,STC-09,completed,True,32,48,16,0.3333333333333333,0,11,4.90583487562848,54.36695297038489,3.051724180535438e-16,8.563017258579015e-14,22.622356673674002,88.95574740495933,0.19252028876482835,0.509609745114949,48,72,0,0,0.06326397475991725,0.3689551935863568,0.2515629756737362,0.5669905062671851,0.5970844170005876,${LOCAL_PROJECT_ROOT}/g-p-6a39e656c2e8819185c3e09837052bc0/research/topic4_v5/real_cad_experiment/corpus_v1/originals/nist/N04/nist_stc_09_asme1_ap242-e3.stp
N05,NIST,STC-10,completed,True,32,1929,152,0.07879730430274753,0,464,15.782428515319523,73.99574787844988,0.007567306146262747,0.1920436380788667,46.28848625876874,186.84982103282235,0.2940008341027635,1.144867837994474,1929,4092,0,103,0.0962356219236208,0.7979048889534074,0.25484424282580354,0.7796265346426993,0.9109614589997364,${LOCAL_PROJECT_ROOT}/g-p-6a39e656c2e8819185c3e09837052bc0/research/topic4_v5/real_cad_experiment/corpus_v1/originals/nist/N05/nist_stc_10_asme1_ap242-e2.stp
N06,NIST,CTC-01,completed,True,32,1164,358,0.3075601374570447,0,321,0,28.225534316159223,0,0.02266143161222801,6.9659230727676515,52.24403238365748,0.06865598211778684,0.4092453907903557,1164,2372,0,4,0.04019406447023573,0.3813187637204305,0.2875263385226237,0.7561728879994434,0.32339083300030325,${LOCAL_PROJECT_ROOT}/g-p-6a39e656c2e8819185c3e09837052bc0/research/topic4_v5/real_cad_experiment/corpus_v1/originals/nist/N06/nist_ctc_01_asme1_ap242-e1.stp
N07,NIST,CTC-02,completed,True,32,3707,82,0.022120312921499866,0,505,10.687000712091228,55.4428592755603,0.004980444632637447,0.14709141399979678,23.658175326373684,122.24231952566036,0.2040150058557725,0.7421325886275579,3707,7464,0,5,0.06513432849063647,0.803445816735924,0.28415216688748,0.8340269451269844,1.6393287499995495,${LOCAL_PROJECT_ROOT}/g-p-6a39e656c2e8819185c3e09837052bc0/research/topic4_v5/real_cad_experiment/corpus_v1/originals/nist/N07/nist_ctc_02_asme1_ap242-e2.stp
N08,NIST,CTC-03,completed,True,32,54,0,0,0,20,58.61247926251343,75.95582255775737,1.8735285696113954e-15,4.5447296484811896e-15,124.22545078414615,199.60465471643232,0.5286022942624726,0.7258175622579437,54,92,0,1,0.22126080009039292,0.7248738189460335,0.4362438157651015,0.5085535152869356,0.28650170900073135,${LOCAL_PROJECT_ROOT}/g-p-6a39e656c2e8819185c3e09837052bc0/research/topic4_v5/real_cad_experiment/corpus_v1/originals/nist/N08/nist_ctc_03_asme1_ap242-e2.stp
N09,NIST,CTC-04,completed,True,32,1681,18,0.010707911957168352,0,278,22.98428539379797,67.68873924606275,0.04078953105048904,0.1921769353223815,58.470927796730116,172.44441869845758,0.3470044807134437,1.0424196223398714,1681,3424,0,25,0.1052989256995936,0.5848900103277621,0.20234979190386665,0.7673887615990729,1.0149591249992227,${LOCAL_PROJECT_ROOT}/g-p-6a39e656c2e8819185c3e09837052bc0/research/topic4_v5/real_cad_experiment/corpus_v1/originals/nist/N09/nist_ctc_04_asme1_ap242-e1.stp
N10,NIST,CTC-05,completed,True,32,3168,517,0.16319444444444445,0,467,5.315268308008085,40.28719686975946,0.00019241271510590352,0.10822833057939968,15.080062870451467,89.43069487340568,0.14821529724602495,0.5842855816618051,3168,6408,0,18,0.05042308949155828,0.5626201185701761,0.249515812149597,0.818674898580637,0.4316476669991971,${LOCAL_PROJECT_ROOT}/g-p-6a39e656c2e8819185c3e09837052bc0/research/topic4_v5/real_cad_experiment/corpus_v1/originals/nist/N10/nist_ctc_05_asme1_ap242-e1.stp
N11R,NIST,FTC-11 replacement,completed,True,32,1085,235,0.21658986175115208,0,290,5.688611048587791,34.69178152631354,0.003257277965771926,0.049678191871347234,18.594712269861102,96.62251621427892,0.19229374621319767,1.73135447297547,1085,2176,0,32,0.10403063796388753,0.4395537691317281,0.2774456794690588,0.774038567349505,0.27538129099957587,${LOCAL_PROJECT_ROOT}/g-p-6a39e656c2e8819185c3e09837052bc0/research/topic4_v5/real_cad_experiment/corpus_v1/originals/nist/N11R/nist_ftc_11_asme1_ap242-e2.stp
T02,TraceParts,Lokring 90-degree elbow,completed,True,32,3562,0,0,0,918,10.951579843080799,54.93770733118236,0.008181059047344202,0.1712191977711784,32.83394680196547,129.78182103547982,0.21317153237863473,0.8255581810196999,3562,7440,0,158,0.08384801050398485,0.5417248364059719,0.3061108224517658,0.8527050118417356,0.2298038329990959,${GRADIENT_QEF_CAD_ROOT}/TraceParts/T02_MAS-3000-EL90-P12/T02_MAS-3000-EL90-P12_AP242.stp
T03,TraceParts,Stafford Flange Adapter Max,completed,True,32,5067,1165,0.22991908427077165,0,620,2.6066869014314253,46.496765849971815,0.00023553761082350448,0.1469088053221167,7.319909650360684,104.37759551976944,0.07057884559670093,0.5908656926893137,5067,10188,0,23,0.04485679078396426,0.5982073939558672,0.24727585575444838,0.7771691095863259,0.44808200000079523,${GRADIENT_QEF_CAD_ROOT}/TraceParts/T03_5EFL008REM/T03_5EFL008REM_AP242.stp
F001,Fusion360Gallery,21225_c081eae3_21,completed,True,24,874,350,0.40045766590389015,0,144,0.008513570996617675,39.11752316175354,7.591895305214535e-06,0.1547666272053702,9.29626488942316,85.50449795490545,0.10604921019832764,0.4730215214556122,874,1752,0,2,0.07867269072734458,0.5323366198929238,0.2260766292166015,0.6050885189928126,0.11767629199857765,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/21225_c081eae3_21.stp
F002,Fusion360Gallery,24650_dad8c8ee_9,completed,True,24,198,0,0,0,47,3.8304033355690406,8.600539579415543,0.006318691104299435,0.06346267736712613,6.32029797467521,42.26920721524329,0.06541481849809862,0.1145101920215253,198,392,0,0,0.09948740625714074,0.2923193613011707,0.3247051127475469,0.6430439933749288,0.0761504590009281,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/24650_dad8c8ee_9.stp
F003,Fusion360Gallery,78606_53ee0da2_1,completed,True,24,1800,0,0,0,72,1.955371154248148,8.492064492954809,0.0009583009328682955,0.029750798181819294,3.6054040210216236,27.92258760424897,0.03937569979496336,0.1411093091523357,1800,3600,0,0,0.020654094172739054,0.11797583349641058,0.32768564610985473,0.535534527104605,0.13921824999852106,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/78606_53ee0da2_1.stp
